Age,Workclass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,Class
66, Local-gov,271988, 11th,11, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,87624,886,78, Cambodia, <=50K
82, Private,361482, 11th,5, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female,50166,2660,72, Cambodia, >50K
69, ?,277253, 10th,7, Divorced, ?, Other-relative, Amer-Indian-Eskimo, Female,65216,2947,6, Cambodia, >50K
40, Federal-gov,195656, 10th,1, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male,42140,2960,75, Canada, >50K
27, Federal-gov,416757, 1st-4th,15, Married-civ-spouse, ?, Other-relative, Black, Female,1672,3782,38, Cambodia, >50K
87, Federal-gov,806316, Assoc-voc,10, Divorced, Craft-repair, Own-child, Black, Male,67557,756,32, Cambodia, <=50K
67, ?,698397, 5th-6th,9, Married-spouse-absent, ?, Husband, Other, Female,20401,2843,15, ?, >50K
85, ?,256195, 10th,9, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,35785,521,7, ?, <=50K
33, ?,543100, 12th,6, Married-AF-spouse, ?, Not-in-family, Black, Male,5016,482,59, ?, <=50K
51, Self-emp-not-inc,400964, 1st-4th,4, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,5016,913,43, Cambodia, >50K
40, ?,508882, 10th,2, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,39798,3404,79, ?, >50K
27, ?,208817, 11th,7, Married-spouse-absent, ?, Husband, Amer-Indian-Eskimo, Male,73912,1121,77, ?, >50K
56, Local-gov,445710, 11th,11, Married-civ-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,79932,2191,83, Cambodia, >50K
78, Federal-gov,453607, 10th,7, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,7023,3378,42, China, >50K
85, ?,135116, 11th,10, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,22742,3247,23, ?, >50K
49, ?,271988, 12th,10, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,84280,2008,63, ?, >50K
69, ?,801051, 11th,4, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Female,3344,1839,41, ?, >50K
42, ?,474664, 7th-8th,12, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Female,51838,3143,89, China, <=50K
71, Never-worked,27198, 10th,2, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,68226,2204,98, Cambodia, >50K
37, Federal-gov,353585, 5th-6th,13, Married-AF-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,94313,91,42, ?, <=50K
47, Self-emp-inc,487825, 12th,15, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,37792,3326,77, ?, >50K
85, Federal-gov,735247, 10th,7, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,83276,3195,84, ?, <=50K
21, ?,779994, 7th-8th,2, Divorced, ?, Husband, Amer-Indian-Eskimo, Male,6354,2426,71, ?, >50K
51, Self-emp-inc,522043, 10th,10, Married-civ-spouse, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female,83611,1369,81, ?, >50K
54, ?,42991, 10th,9, Married-spouse-absent, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,39464,547,62, Columbia, >50K
72, Federal-gov,540468, 10th,7, Married-AF-spouse, Adm-clerical, Own-child, Other, Female,21738,2569,45, ?, >50K
27, Federal-gov,164070, 11th,1, Divorced, ?, Not-in-family, Black, Female,98326,443,93, ?, >50K
37, ?,400964, 11th,8, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female,84614,2778,92, Cambodia, >50K
88, ?,390435, 12th,4, Married-spouse-absent, ?, Husband, Black, Female,72574,600,53, Cambodia, <=50K
64, ?,687869, 12th,4, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,63544,3639,37, Cambodia, >50K
19, ?,203552, 11th,9, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,91972,3900,58, ?, >50K
84, Federal-gov,724719, 12th,15, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,13043,2269,76, Cambodia, >50K
79, Local-gov,661547, 10th,8, Married-spouse-absent, ?, Husband, Amer-Indian-Eskimo, Female,44481,2817,93, Cuba, >50K
50, ?,229874, 10th,4, Never-married, Exec-managerial, Not-in-family, White, Female,1337,1121,74, Columbia, <=50K
63, ?,232506, 10th,1, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Male,53511,952,76, ?, <=50K
34, ?,387803, 10th,11, Never-married, Craft-repair, Husband, Black, Female,94982,3039,43, ?, <=50K
50, Federal-gov,566790, 10th,1, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,45818,2543,57, ?, <=50K
58, Federal-gov,616800, 10th,11, Married-AF-spouse, ?, Husband, Black, Male,48494,1513,73, Canada, >50K
32, ?,432550, 10th,8, Married-AF-spouse, ?, Other-relative, Asian-Pac-Islander, Female,75918,691,96, ?, >50K
52, ?,414125, 10th,8, Married-civ-spouse, ?, Unmarried, Amer-Indian-Eskimo, Male,31103,1447,42, ?, <=50K
33, Local-gov,300942, 1st-4th,13, Divorced, ?, Own-child, Amer-Indian-Eskimo, Male,28762,3508,92, Cuba, >50K
46, Federal-gov,337792, 10th,4, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,97657,234,8, ?, >50K
73, ?,335160, 10th,3, Divorced, Exec-managerial, Own-child, Black, Male,89965,3052,51, Cambodia, >50K
55, ?,614168, 10th,9, Divorced, Craft-repair, Not-in-family, Black, Female,83945,1186,91, Cambodia, <=50K
72, ?,658915, 10th,7, Married-AF-spouse, ?, Not-in-family, Amer-Indian-Eskimo, Male,56186,286,47, ?, <=50K
81, ?,514146, 12th,6, Married-AF-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,16387,1004,55, ?, <=50K
84, ?,143013, 10th,2, Divorced, ?, Other-relative, Asian-Pac-Islander, Male,70233,2621,23, ?, >50K
40, Local-gov,722087, 10th,15, Married-spouse-absent, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,38126,2608,81, Canada, >50K
48, ?,400964, 10th,15, Married-AF-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,70567,3156,98, China, >50K
86, ?,166702, 10th,9, Divorced, ?, Not-in-family, Black, Female,79597,1147,85, Cambodia, <=50K
59, Federal-gov,374642, 10th,14, Divorced, ?, Husband, Black, Male,4347,2230,74, Cambodia, >50K
78, Federal-gov,353585, 12th,12, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,61203,3273,56, Cambodia, >50K
29, ?,327264, 10th,10, Married-AF-spouse, ?, Own-child, Asian-Pac-Islander, Male,11705,3691,24, ?, <=50K
84, ?,266724, 11th,7, Divorced, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,39464,117,82, China, >50K
36, ?,90370, 11th,14, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,55183,547,29, Cambodia, >50K
17, Federal-gov,358849, 12th,3, Married-spouse-absent, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,71571,273,68, Cambodia, <=50K
32, Local-gov,503618, 10th,2, Divorced, ?, Husband, Other, Male,67557,3052,44, Cambodia, <=50K
53, Federal-gov,490457, 10th,9, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male,34447,352,79, Canada, >50K
81, ?,337792, 11th,1, Married-civ-spouse, ?, Husband, Black, Female,87290,3208,11, ?, <=50K
26, ?,490457, 11th,5, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,9364,3013,29, ?, <=50K
72, Federal-gov,729983, 10th,8, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male,25083,1956,97, Cambodia, <=50K
74, ?,269356, 11th,11, Divorced, Exec-managerial, Other-relative, Black, Female,71236,1747,84, ?, >50K
18, ?,327264, 11th,1, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,58527,3769,9, Cambodia, <=50K
58, ?,150909, 10th,2, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Male,89631,1604,50, ?, >50K
52, Federal-gov,445710, 11th,11, Married-spouse-absent, ?, Husband, Asian-Pac-Islander, Female,37123,3665,63, Cambodia, <=50K
73, ?,756305, 10th,11, Married-spouse-absent, Adm-clerical, Husband, Other, Female,42808,2334,52, ?, <=50K
73, ?,129852, 10th,3, Divorced, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Male,37123,2569,96, ?, <=50K
72, Never-worked,321999, 11th,13, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,5685,3430,53, Canada, >50K
47, Local-gov,277253, 12th,3, Married-spouse-absent, Adm-clerical, Husband, Asian-Pac-Islander, Female,41136,1617,24, Cambodia, <=50K
24, Federal-gov,564157, 11th,12, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,84280,3026,78, Canada, >50K
52, Local-gov,303574, 11th,3, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,17391,3169,11, Canada, >50K
45, ?,656283, 10th,10, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Female,61872,2360,22, China, >50K
19, Federal-gov,711558, 11th,3, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,14715,3208,81, Cambodia, <=50K
25, ?,132484, 11th,4, Divorced, ?, Own-child, Amer-Indian-Eskimo, Female,19397,3600,28, ?, <=50K
43, Federal-gov,740512, 5th-6th,9, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,20401,3000,56, Cambodia, >50K
24, ?,356217, 10th,9, Widowed, Adm-clerical, Husband, Black, Male,36454,3665,2, Columbia, >50K
45, ?,748408, 11th,12, Married-AF-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,84948,3808,91, Cambodia, <=50K
83, Local-gov,166702, 10th,7, Divorced, Armed-Forces, Husband, Other, Male,85617,3730,90, Cuba, >50K
62, Federal-gov,66680, 11th,10, Married-AF-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,85952,1773,64, Cambodia, <=50K
81, ?,682604, 10th,6, Married-civ-spouse, Armed-Forces, Own-child, Amer-Indian-Eskimo, Male,28762,286,17, Cambodia, <=50K
84, Federal-gov,364114, 10th,8, Married-AF-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,75918,1252,1, Canada, >50K
44, ?,743144, 11th,15, Married-AF-spouse, ?, Wife, Amer-Indian-Eskimo, Female,61203,2595,20, ?, <=50K
44, Federal-gov,340424, 11th,14, Married-spouse-absent, ?, Own-child, Asian-Pac-Islander, Male,88293,613,86, ?, >50K
43, Federal-gov,701029, 10th,7, Divorced, ?, Husband, Black, Male,10033,704,93, Dominican-Republic, <=50K
57, ?,479928, 11th,9, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,95651,2804,17, Cambodia, >50K
32, ?,345689, 10th,13, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Female,42474,143,87, ?, >50K
58, ?,601007, 10th,13, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,11705,3808,90, Cambodia, <=50K
42, Private,79841, 11th,15, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,7357,2321,53, Canada, <=50K
72, Never-worked,258828, 10th,9, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,48828,3795,75, ?, >50K
46, ?,503618, 12th,9, Married-spouse-absent, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,77925,2126,1, ?, <=50K
55, Federal-gov,361482, 10th,4, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,42140,247,67, ?, <=50K
65, Never-worked,661547, 5th-6th,11, Married-AF-spouse, Adm-clerical, Own-child, Black, Male,4013,3717,81, ?, <=50K
56, ?,643122, 10th,9, Divorced, ?, Husband, Asian-Pac-Islander, Female,76587,1800,52, Cambodia, <=50K
41, ?,666811, 10th,15, Divorced, ?, Own-child, Amer-Indian-Eskimo, Male,99330,3534,47, ?, >50K
54, Self-emp-inc,540468, 10th,14, Divorced, Armed-Forces, Own-child, Amer-Indian-Eskimo, Female,64213,913,75, Cambodia, >50K
67, Local-gov,111427, 10th,13, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Female,41805,2426,78, China, <=50K
74, ?,608904, 10th,6, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,13377,756,95, Cambodia, <=50K
26, ?,511514, 11th,10, Married-AF-spouse, Armed-Forces, Wife, Amer-Indian-Eskimo, Female,59865,3313,17, Canada, >50K
79, Federal-gov,250931, 11th,7, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,55852,2647,70, Cambodia, >50K
30, Federal-gov,240402, 10th,1, Divorced, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,78928,3365,91, Cambodia, <=50K
38, ?,111427, 10th,1, Married-spouse-absent, ?, Husband, Asian-Pac-Islander, Male,66554,1630,47, Canada, <=50K
64, ?,716822, 10th,10, Married-AF-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,62541,1682,31, ?, >50K
28, Federal-gov,300942, 11th,13, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,60534,2178,94, ?, <=50K
17, Local-gov,229874, 11th,11, Married-AF-spouse, ?, Other-relative, Black, Male,90634,1930,30, ?, <=50K
31, Never-worked,332528, 10th,3, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,75918,1369,47, ?, >50K
58, Local-gov,545732, 1st-4th,1, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,76922,1904,64, Columbia, >50K
82, ?,606272, 10th,2, Divorced, ?, Other-relative, Other, Female,84948,378,19, Cambodia, <=50K
49, ?,145645, 11th,10, Married-civ-spouse, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female,43812,2869,27, ?, <=50K
62, Local-gov,724719, 12th,8, Married-AF-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,59196,2973,2, ?, >50K
56, Federal-gov,490457, 10th,8, Divorced, Armed-Forces, Not-in-family, Black, Male,78594,2947,89, ?, <=50K
80, ?,500986, 12th,5, Married-AF-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,41136,3456,92, Canada, <=50K
74, ?,543100, 10th,8, Divorced, Adm-clerical, Wife, Black, Male,76587,3795,65, Cambodia, >50K
87, Federal-gov,732615, 10th,13, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Male,2006,3900,7, ?, <=50K
44, ?,537836, 10th,2, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Male,87958,1056,20, ?, <=50K
69, ?,311471, 11th,6, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Male,90968,3091,12, Canada, >50K
60, ?,156174, 10th,5, Married-AF-spouse, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,3547,36, ?, >50K
34, Federal-gov,556261, 11th,9, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,12040,3273,51, ?, <=50K
53, Federal-gov,53520, 10th,8, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,26421,2191,77, China, <=50K
48, ?,679972, 10th,10, Married-AF-spouse, ?, Unmarried, Amer-Indian-Eskimo, Male,79932,2139,11, Ecuador, >50K
86, Federal-gov,42991, 10th,5, Divorced, ?, Not-in-family, Other, Male,57858,1552,65, ?, <=50K
86, ?,156174, 10th,9, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,14046,652,21, ?, <=50K
31, Federal-gov,161438, 10th,3, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,81270,65,15, ?, <=50K
57, ?,801051, 10th,2, Married-civ-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,49832,1526,87, Dominican-Republic, >50K
74, Federal-gov,150909, 12th,3, Divorced, ?, Other-relative, Asian-Pac-Islander, Female,21404,2947,8, Cambodia, <=50K
77, ?,243035, 10th,8, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,29765,926,42, ?, >50K
51, ?,706294, 10th,5, Married-AF-spouse, ?, Husband, Asian-Pac-Islander, Female,17391,886,15, ?, <=50K
59, ?,487825, 12th,1, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,87290,508,60, ?, <=50K
71, Never-worked,153541, 10th,15, Married-spouse-absent, ?, Unmarried, Amer-Indian-Eskimo, Female,93644,3208,90, Canada, <=50K
46, ?,350953, 5th-6th,13, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,61537,1186,87, ?, <=50K
26, Never-worked,622065, 10th,3, Divorced, Exec-managerial, Own-child, White, Female,44481,1147,86, China, >50K
34, Never-worked,522043, 1st-4th,12, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,53176,1317,56, ?, <=50K
63, ?,532572, 12th,9, Divorced, ?, Husband, Amer-Indian-Eskimo, Male,56521,3534,11, Canada, >50K
48, Self-emp-inc,348321, 11th,13, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female,16722,2478,63, Cambodia, <=50K
58, ?,274620, 11th,6, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,51170,2713,53, ?, <=50K
51, Local-gov,693133, 12th,12, Married-civ-spouse, ?, Other-relative, Asian-Pac-Islander, Male,56855,2673,53, ?, >50K
45, Federal-gov,472032, 12th,2, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,53511,2269,94, Cambodia, >50K
17, Local-gov,161438, 10th,14, Married-AF-spouse, ?, Own-child, Amer-Indian-Eskimo, Male,90968,3052,92, Columbia, <=50K
70, Never-worked,206184, 10th,8, Divorced, ?, Other-relative, Amer-Indian-Eskimo, Female,26755,3678,79, Cambodia, >50K
41, Federal-gov,522043, 9th,14, Married-AF-spouse, Armed-Forces, Husband, Other, Male,17056,573,70, ?, >50K
41, Federal-gov,298310, 10th,3, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,48160,626,47, Columbia, <=50K
61, ?,258828, 10th,6, Divorced, ?, Husband, Asian-Pac-Islander, Female,62541,3795,22, Cambodia, <=50K
42, ?,361482, 12th,9, Married-AF-spouse, ?, Other-relative, Amer-Indian-Eskimo, Male,36788,978,86, Cambodia, <=50K
63, Federal-gov,482561, 11th,6, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Male,65885,2439,87, El-Salvador, <=50K
22, Federal-gov,400964, 5th-6th,8, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,51838,3404,11, Canada, >50K
65, Local-gov,235138, 10th,11, Married-spouse-absent, ?, Not-in-family, Asian-Pac-Islander, Female,91972,2621,18, China, <=50K
37, ?,461503, 10th,8, Divorced, ?, Husband, Amer-Indian-Eskimo, Male,61872,3326,54, Cambodia, <=50K
36, Self-emp-not-inc,777362, 1st-4th,6, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,30100,2073,3, ?, >50K
25, Federal-gov,329896, 10th,16, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female,2006,534,59, ?, <=50K
58, ?,490457, 10th,8, Divorced, ?, Husband, Asian-Pac-Islander, Male,94982,260,21, ?, <=50K
48, ?,564157, 10th,2, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Female,44481,900,86, Canada, >50K
90, ?,395699, 11th,8, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,24748,365,25, Cambodia, >50K
26, ?,177231, 11th,10, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,59196,1473,68, Cuba, >50K
70, Local-gov,645754, 10th,4, Widowed, ?, Husband, Amer-Indian-Eskimo, Male,7357,2373,61, ?, >50K
61, Never-worked,453607, 11th,5, Married-spouse-absent, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,92641,0,39, ?, <=50K
58, Federal-gov,69312, 12th,9, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Female,80601,1891,32, China, >50K
42, ?,443078, 11th,3, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,21404,2230,18, ?, <=50K
32, Federal-gov,21934, 11th,5, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Male,91303,3013,56, ?, >50K
27, Federal-gov,153541, 10th,7, Never-married, ?, Not-in-family, Black, Male,92641,2060,60, ?, <=50K
17, ?,698397, 11th,3, Widowed, ?, Not-in-family, Black, Male,33110,3639,68, ?, >50K
37, ?,353585, 10th,13, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,47825,65,68, Canada, >50K
38, Federal-gov,632593, 11th,1, Divorced, Adm-clerical, Not-in-family, Other, Female,56521,1369,82, China, <=50K
70, Local-gov,450975, 12th,11, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female,18394,2869,23, China, >50K
59, Private,377274, 10th,13, Married-spouse-absent, Adm-clerical, Own-child, Asian-Pac-Islander, Female,49832,665,90, ?, >50K
79, ?,503618, 11th,4, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,74246,1865,78, ?, >50K
27, Federal-gov,735247, 11th,9, Married-AF-spouse, ?, Wife, Black, Male,13712,247,45, Canada, <=50K
25, Federal-gov,511514, 11th,9, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female,99999,130,81, ?, >50K
62, Local-gov,608904, 1st-4th,3, Divorced, Armed-Forces, Husband, Black, Female,13377,2321,80, Cambodia, >50K
40, ?,21934, 11th,9, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,37457,2360,52, ?, <=50K
29, ?,519411, 11th,12, Separated, Adm-clerical, Other-relative, Black, Male,63878,3626,27, Canada, <=50K
67, Never-worked,558893, 10th,6, Divorced, ?, Husband, Asian-Pac-Islander, Female,92975,2113,46, ?, <=50K
64, ?,714190, 10th,3, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Male,7692,1121,14, ?, <=50K
73, ?,264092, 5th-6th,7, Married-AF-spouse, ?, Husband, Other, Male,57190,1813,19, ?, >50K
51, ?,274620, 10th,15, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male,97657,1304,41, ?, <=50K
17, Federal-gov,174599, 11th,4, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Male,17725,3260,56, ?, >50K
78, Federal-gov,206184, 11th,8, Divorced, ?, Husband, Amer-Indian-Eskimo, Female,41471,104,21, ?, >50K
64, Self-emp-inc,740512, 1st-4th,15, Divorced, ?, Husband, Amer-Indian-Eskimo, Male,4682,1891,1, Cambodia, >50K
77, Federal-gov,224610, 11th,5, Married-spouse-absent, ?, Not-in-family, Other, Male,28762,2256,92, Canada, >50K
39, ?,498354, 11th,12, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,3678,1056,64, ?, <=50K
21, Self-emp-inc,793155, 10th,11, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,47156,521,16, China, <=50K
61, ?,82473, 5th-6th,5, Divorced, ?, Unmarried, Asian-Pac-Islander, Male,28762,2686,49, ?, >50K
75, ?,666811, 10th,4, Married-AF-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,35785,691,84, ?, <=50K
59, ?,435182, 10th,10, Married-AF-spouse, ?, Husband, Black, Male,28762,3182,35, Canada, <=50K
27, Local-gov,511514, 10th,6, Divorced, Adm-clerical, Husband, Black, Male,90300,3691,9, ?, <=50K
61, ?,640490, 10th,5, Divorced, Adm-clerical, Husband, Other, Female,54514,756,43, ?, <=50K
46, Federal-gov,519411, 11th,15, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,15718,3586,88, ?, >50K
78, Federal-gov,706294, 11th,2, Divorced, Craft-repair, Not-in-family, Other, Male,87290,130,92, ?, >50K
79, ?,321999, 7th-8th,14, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,17391,1930,46, Cambodia, >50K
86, Never-worked,187759, 11th,12, Married-civ-spouse, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,41136,247,65, ?, >50K
51, ?,603640, 10th,4, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,91972,3495,54, ?, <=50K
24, Local-gov,114059, 12th,15, Widowed, Adm-clerical, Not-in-family, Black, Female,12708,2139,52, Cambodia, >50K
79, ?,37727, 10th,4, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,94982,2452,20, Cambodia, <=50K
69, ?,716822, 10th,2, Married-AF-spouse, ?, Other-relative, Black, Female,23411,3600,59, Cambodia, >50K
19, ?,472032, Doctorate,4, Never-married, Adm-clerical, Husband, White, Female,17391,3286,90, ?, <=50K
41, ?,35094, 11th,14, Divorced, Armed-Forces, Husband, White, Female,73577,3234,49, ?, <=50K
40, Federal-gov,29830, 10th,1, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,45484,52,50, ?, <=50K
77, ?,766833, 10th,14, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,35451,2282,95, ?, >50K
72, ?,400964, 10th,14, Divorced, Adm-clerical, Husband, Black, Female,89965,3782,32, Canada, >50K
